w1,w2,w3,alpha,beta,pi0,regression_mae,full_model_mae,full_model_rmse,full_model_mape,volatility_mae,volatility_rmse,volatility_mape,sample_count,validation_count,price_rank,volatility_rank
0.24,0.76,0.0,1.1915304447544828,3058.620334940825,681.3820684606221,99.7727656276943,99.1726262947312,119.64819036635589,0.013060251208267384,99.1726262947312,119.64819036635589,0.7500660605678622,158,241,78,78
0.0,0.88,0.12,1.168410993927209,3156.996760031815,605.3346933707048,98.34164394778524,99.1753155503398,117.81377710228965,0.013127657264604077,99.1753155503398,117.81377710228965,0.7528576380431042,158,241,79,79
0.16,0.72,0.12,1.179527060342242,3128.61743603987,636.4359115713282,99.19857540886979,99.17721426643438,118.65362391537411,0.01309841189379006,99.17721426643438,118.65362391537411,0.7510941868495127,158,241,80,80
0.18,0.72,0.1,1.1819680024712835,3116.0505115327196,645.0189863020082,99.33141303654445,99.1881261477873,118.85105605222526,0.013091988943562923,99.1881261477873,118.85105605222526,0.7509013090486663,158,241,81,81
0.04,0.82,0.14,1.1701959564017685,3158.5540718002785,608.594942595395,98.49278350239052,99.21997143073341,117.85028716905623,0.013132195692728424,99.21997143073341,117.85028716905623,0.7526761105922045,158,241,82,82
0.2,0.72,0.08,1.1843701317914024,3103.7173759240877,653.5124518759453,99.49998227590866,99.22114724903184,119.12135524899563,0.013089279766530949,99.22114724903184,119.12135524899563,0.7509556775709471,158,241,83,83
0.14,0.72,0.14,1.1770269586601172,3141.6561564871945,627.5950319172098,99.10962763955501,99.2446267128239,118.541330822721,0.013116044682449436,99.2446267128239,118.541330822721,0.751643750785171,158,241,84,84
0.24,0.74,0.02,1.1903043028961664,3069.1309867836308,675.8330540663255,99.84911229746612,99.28669032857084,119.75579022377984,0.013080114996105592,99.28669032857084,119.75579022377984,0.7508568622277625,158,241,85,85
0.22,0.72,0.06,1.1867369155406553,3091.596891893075,661.9279429885319,99.68486785257416,99.28826344312417,119.4657969266479,0.013090889181830129,99.28826344312417,119.4657969266479,0.7510660261233065,158,241,86,86
0.02,0.84,0.14,1.168728615575535,3162.597171362063,604.5042663953063,98.46600342311726,99.29199666027436,117.88495155123151,0.01314576610381474,99.29199666027436,117.88495155123151,0.7533876183136158,158,241,87,87
0.1,0.74,0.16,1.1731745615463742,3158.01817879693,614.9901142759695,98.87796672874839,99.34017124606231,118.31869727170631,0.013142409866730593,99.34017124606231,118.31869727170631,0.7526647885026687,158,241,88,88
0.16,0.7,0.14,1.1782879018280417,3139.0878195841306,630.9831422560687,99.33293906098476,99.34384701641314,118.87959810287117,0.013125592394351097,99.34384701641314,118.87959810287117,0.75234705780058,158,241,89,89
0.08,0.76,0.16,1.1718104566593222,3161.380913413149,611.2029220211175,98.77451202814458,99.34422535497086,118.17777401133458,0.013147306945039032,99.34422535497086,118.17777401133458,0.752956179106996,158,241,90,90
0.18,0.7,0.12,1.180731074937569,3126.5301295305662,639.5469160476082,99.46439484203977,99.34815626308385,119.05933965787067,0.013117706276624544,99.34815626308385,119.05933965787067,0.7520762500824384,158,241,91,91
0.0,0.86,0.14,1.167199374592325,3167.1806639639644,600.0970088314748,98.45807907948199,99.37427499809046,117.99274926873657,0.013160436595528565,99.37427499809046,117.99274926873657,0.754146910778437,158,241,92,92
